src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,total_gb,hour,direction,size_category,is_peak_hour,destination_type,cost_urgency,traffic_type,is_peak,cost_nrs
127.0.0.1,127.0.0.53,49648,53,UDP,0.0,186000000,2,1860000000.0,0.173225998878479,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.5984
192.168.18.20,192.168.18.1,52036,53,UDP,0.0,93000000,1,930000000.0,0.0866129994392395,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,60506,53,UDP,0.0,93000000,1,930000000.0,0.0866129994392395,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.20,140.82.112.25,56338,443,TCP,7.47,4956000000,11,663453815.2610441,4.6156346797943115,3,UPLOAD,LARGE,False,SERVICE,False,INTERNET_EGRESS,False,346.1726
192.168.18.1,192.168.18.20,53,52036,UDP,0.0,128000000,1,1280000000.0,0.11920928955078125,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.53,127.0.0.1,53,49648,UDP,0.0,324000000,2,3240000000.0,0.30174851417541504,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,3.0175
127.0.0.53,127.0.0.1,53,48367,UDP,0.0,324000000,2,3240000000.0,0.30174851417541504,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,4.5262
192.168.18.1,192.168.18.20,53,60506,UDP,0.0,1990000000,1,1990000000.0,1.8533319234848022,3,INTERNAL,LARGE,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,34936,53,UDP,0.0,92000000,1,920000000.0,0.08568167686462402,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.1,192.168.18.20,53,34936,UDP,0.0,92000000,1,920000000.0,0.08568167686462402,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.1,127.0.0.53,52649,53,UDP,0.0,194000000,2,1940000000.0,0.18067657947540283,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.7101
192.168.18.20,192.168.18.1,54718,53,UDP,0.0,97000000,1,970000000.0,0.09033828973770142,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,54392,53,UDP,0.0,97000000,1,970000000.0,0.09033828973770142,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.1,127.0.0.53,36445,53,UDP,0.0,97000000,1,970000000.0,0.09033828973770142,3,DOWNLOAD,SMALL,False,INTERNAL,False,OTHER,False,0.9034
192.168.18.20,140.82.112.21,54358,443,TCP,1.27,7945000000,16,6255905511.811024,7.399357855319977,14,UPLOAD,LARGE,True,SERVICE,True,INTERNET_EGRESS,True,832.4278
192.168.18.1,192.168.18.20,53,54718,UDP,0.0,146000000,1,1460000000.0,0.13597309589385986,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.53,127.0.0.1,53,52649,UDP,0.0,360000000,2,3600000000.0,0.33527612686157227,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,5.0291
127.0.0.53,127.0.0.1,53,36445,UDP,0.0,146000000,1,1460000000.0,0.13597309589385986,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.3597
192.168.18.1,192.168.18.20,53,54392,UDP,0.0,217000000,1,2170000000.0,0.20209699869155884,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.20,192.168.18.1,55338,53,UDP,0.0,106000000,1,1060000000.0,0.09872019290924072,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.1,192.168.18.20,53,55338,UDP,0.0,106000000,1,1060000000.0,0.09872019290924072,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.1,127.0.0.53,40108,53,UDP,0.0,93000000,1,930000000.0,0.0866129994392395,3,DOWNLOAD,SMALL,False,INTERNAL,False,OTHER,False,0.8661
192.168.18.20,140.82.112.25,56346,443,TCP,1.83,3176000000,15,1735519125.68306,2.9578804969787598,14,UPLOAD,LARGE,True,SERVICE,True,INTERNET_EGRESS,True,332.7616
127.0.0.53,127.0.0.1,53,40108,UDP,0.0,212000000,1,2120000000.0,0.19744038581848145,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.9744
192.168.18.20,140.82.113.21,48840,443,TCP,2.02,11792000000,22,5837623762.376238,10.982155799865723,14,UPLOAD,VERY_LARGE,True,SERVICE,True,INTERNET_EGRESS,True,1235.4925
140.82.112.21,192.168.18.20,443,54358,TCP,1.31,8802000000,19,6719083969.465649,8.197501301765442,3,DOWNLOAD,LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,122.9625
140.82.113.21,192.168.18.20,443,48840,TCP,1.64,7700000000,18,4695121951.219513,7.171183824539185,14,DOWNLOAD,LARGE,True,INTERNAL,False,INTERNET_INGRESS,True,161.3516
140.82.112.25,192.168.18.20,443,56338,TCP,6.63,4564000000,10,688386123.6802413,4.250556230545044,3,DOWNLOAD,LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,63.7583
140.82.112.25,192.168.18.20,443,56346,TCP,1.2,5883000000,11,4902500000.0,5.47897070646286,14,DOWNLOAD,LARGE,True,INTERNAL,False,INTERNET_INGRESS,True,123.2768
140.82.113.22,192.168.18.20,443,35924,TCP,0.01,168000000,2,1680000000.0,0.1564621925354004,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,INTERNET_INGRESS,False,2.3469
192.168.18.20,140.82.113.22,35924,443,TCP,0.0,72000000,1,720000000.0,0.06705522537231445,14,UPLOAD,SMALL,True,SERVICE,False,INTERNET_EGRESS,True,7.5437
127.0.0.1,127.0.0.53,41399,53,UDP,0.0,200000000,2,2000000000.0,0.1862645149230957,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.8626
127.0.0.53,127.0.0.1,53,41399,UDP,0.0,568000000,2,5680000000.0,0.5289912223815918,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,7.9349
192.168.18.1,192.168.18.20,53,39958,UDP,0.0,185000000,1,1850000000.0,0.17229467630386353,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.1,127.0.0.53,43587,53,UDP,0.0,176000000,2,1760000000.0,0.16391277313232422,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.4587
192.168.18.20,192.168.18.1,50292,53,UDP,0.0,88000000,1,880000000.0,0.08195638656616211,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
