src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,direction,destination_type,cost_category,total_gb
127.0.0.1,127.0.0.53,50484,53,UDP,0.0,188,2,188.0,INTERNAL,INTERNET,OTHER,1.88e-07
192.168.18.20,192.168.18.1,43206,53,UDP,0.0,94,1,94.0,INTERNAL,INTERNET,OTHER,9.4e-08
192.168.18.20,192.168.18.1,60717,53,UDP,0.0,94,1,94.0,INTERNAL,INTERNET,OTHER,9.4e-08
192.168.18.1,192.168.18.20,53,43206,UDP,0.0,110,1,110.0,INTERNAL,INTERNET,OTHER,1.1e-07
127.0.0.53,127.0.0.1,53,50484,UDP,0.01,232,2,232.0,INTERNAL,LOCAL,OTHER,2.32e-07
192.168.18.1,192.168.18.20,53,60717,UDP,0.0,122,1,122.0,INTERNAL,INTERNET,OTHER,1.22e-07
127.0.0.1,127.0.0.53,54626,53,UDP,0.0,208,2,208.0,INTERNAL,INTERNET,OTHER,2.08e-07
192.168.18.20,192.168.18.1,58396,53,UDP,0.0,104,1,104.0,INTERNAL,INTERNET,OTHER,1.04e-07
192.168.18.20,192.168.18.1,54318,53,UDP,0.0,104,1,104.0,INTERNAL,INTERNET,OTHER,1.04e-07
192.168.18.1,192.168.18.20,53,54318,UDP,0.0,132,1,132.0,INTERNAL,INTERNET,OTHER,1.32e-07
127.0.0.53,127.0.0.1,53,54626,UDP,0.0,252,2,252.0,INTERNAL,LOCAL,OTHER,2.52e-07
192.168.18.1,192.168.18.20,53,58396,UDP,0.0,120,1,120.0,INTERNAL,INTERNET,OTHER,1.2e-07
127.0.0.1,127.0.0.53,39717,53,UDP,0.0,182,2,182.0,INTERNAL,INTERNET,OTHER,1.82e-07
127.0.0.53,127.0.0.1,53,39717,UDP,0.0,226,2,226.0,INTERNAL,LOCAL,OTHER,2.26e-07
127.0.0.1,127.0.0.53,51891,53,UDP,0.0,220,2,220.0,INTERNAL,INTERNET,OTHER,2.2e-07
192.168.18.20,192.168.18.1,35797,53,UDP,0.0,110,1,110.0,INTERNAL,INTERNET,OTHER,1.1e-07
192.168.18.20,192.168.18.1,46159,53,UDP,0.0,110,1,110.0,INTERNAL,INTERNET,OTHER,1.1e-07
192.168.18.1,192.168.18.20,53,35797,UDP,0.0,156,1,156.0,INTERNAL,INTERNET,OTHER,1.56e-07
127.0.0.53,127.0.0.1,53,51891,UDP,0.0,324,2,324.0,INTERNAL,LOCAL,OTHER,3.24e-07
192.168.18.1,192.168.18.20,53,46159,UDP,0.0,168,1,168.0,INTERNAL,INTERNET,OTHER,1.68e-07
127.0.0.1,127.0.0.53,34218,53,UDP,0.0,184,2,184.0,INTERNAL,INTERNET,OTHER,1.84e-07
192.168.18.20,192.168.18.1,57078,53,UDP,0.0,92,1,92.0,INTERNAL,INTERNET,OTHER,9.2e-08
192.168.18.20,192.168.18.1,33761,53,UDP,0.0,92,1,92.0,INTERNAL,INTERNET,OTHER,9.2e-08
192.168.18.20,173.194.57.106,51096,443,TCP,1.1,4293,12,3912.18,UPLOAD,INTERNET,INTERNET_EGRESS,4.293e-06
192.168.18.20,173.194.57.106,51112,443,TCP,1.15,4309,12,3733.92,UPLOAD,INTERNET,INTERNET_EGRESS,4.309e-06
192.168.18.1,192.168.18.20,53,33761,UDP,0.0,148,1,148.0,INTERNAL,INTERNET,OTHER,1.48e-07
127.0.0.53,127.0.0.1,53,34218,UDP,0.0,272,2,272.0,INTERNAL,LOCAL,OTHER,2.72e-07
192.168.18.1,192.168.18.20,53,57078,UDP,0.0,124,1,124.0,INTERNAL,INTERNET,OTHER,1.24e-07
173.194.57.106,192.168.18.20,443,51096,TCP,1.1,6756,13,6145.34,DOWNLOAD,INTERNET,OTHER,6.756e-06
173.194.57.106,192.168.18.20,443,51112,TCP,1.16,6743,13,5819.15,DOWNLOAD,INTERNET,OTHER,6.743e-06
127.0.0.1,127.0.0.53,47355,53,UDP,0.0,188,2,188.0,INTERNAL,INTERNET,OTHER,1.88e-07
192.168.18.20,192.168.18.1,51709,53,UDP,0.0,94,1,94.0,INTERNAL,INTERNET,OTHER,9.4e-08
